           ,,,
SNo.,Item Description,Quantity,AVG
1,3 CEF NOVO 1.5G               1*1,1,1
2,360BLOK SUNSCREEN GEL SPF50   50G,2,1
3,3D 60K TAB                    1*4TAB,6,2
4,4 QUIN EYE DROP               5ML,4,1
5,4 QUIN KT EYE DROP            5ML,1,1
6,777 OIL                       100ML,58,15
7,777 OIL                       200ML,29,8
8,8X-SHAMPOO                    100ML,2,1
9,A TO Z DROP                   15ML,40,10
10,A TO Z GOLD CAP               1*15CAP,130,33
11,A TO Z IMMUNE TAB             1*16TAB,5,2
12,A TO Z SYRUP                  100ML,11,3
13,A TO Z SYRUP                  200ML,39,10
14,A TO Z TAB                    1*15TAB,195,49
15,A TO Z WOMAN TAB              1*15,4,1
16,A TO Z WOMEN CAP              1*15CAP,4,1
17,A2LITE CREAM                  20GM,2,1
18,AB FLO CAP                    1*10TAB,3,1
19,AB FLO N TAB                  1*10TAB,10,3
20,AB PHYLLINE CAP               1*10CAP,61,16
21,AB PHYLLINE N TAB             1*10TAB,13,4
22,AB PHYLLINE SR 200MG TAB      1*10TAB,5,2
23,AB PHYLLINE SYRUP             100ML,4,1
24,AB-FLO SR                     1*10TAB,6,2
25,ABDOMINAL BELT (L)            1PIC,1,1
26,ABDOMINAL BELT (M)            1PCS,2,1
27,ABDOMINAL BELT (XL)           1PIC,3,1
28,ABDOMINAL BELT-(M)OPTIMA      1PIC,1,1
29,ABEL 40MG TAB                 1*10TAB,9,3
30,ABEL 80MG TAB                 1*10TAB,1,1
31,ABEVIA 200 SR TAB             1*10TAB,1,1
32,ABHAYRAB-INJ                  1VAIL,1,1
33,ABIWAYS TAB                   1X15TAB,11,3
34,ABLUNG SR TAB                 1*10TAB,5,2
35,ABPRESS EYE DROP              1*5ML,2,1
36,ABSOLUT 3G CAP                1*10CAP,1,1
37,ABSOLUT CAP                   1*10CAP,3,1
38,ABSOLUT GOLD CAP              1*10CAP,3,1
39,ABSOLUT WOMAN CAP             1*10CAP,3,1
40,ABVIDA 50 TAB                 1*15TAB,15,4
41,ABVIDA M 50/500 TAB           1*15TAB,2,1
42,ABVIDA SR 100 TAB             1*15TAB,7,2
43,ABZORB POWDER                 100GM,20,5
44,ACCU CHEK ACTIVE 50STRIP      1*50STRIP,8,2
45,ACCU CHEK INSTANT 50 STRIP    50STRIP,4,1
